ранг	кандзи	freq	pmw	кум%	написания
36	用	212307	1086.9544	19.296	利用(35310)/用(30264)/使用(25118)/用い(9597)/費用(8691)/適用(8078)/活用(7655)/雇用(7191)/用意(7084)/作用(6784)/採用(6501)/運用(5027)/信用(4735)/専用(3933)/用いる(2795)/引用(2519)/用語(2286)/準用(2201)/実用(2176)/応用(2152)
37	月	208663	1068.2982	19.648	月(162244)/ヶ月(7027)/カ月(5519)/か月(3682)/正月(2705)/毎月(2532)/月曜(2512)/ヵ月(2431)/今月(2076)/月額(1086)/年月(919)/来月(811)/先月(780)/歳月(679)/月間(657)/半月(448)/月経(441)/月日(433)/月給(412)/月刊(403)
38	学	202830	1038.4348	19.990	学校(38136)/大学(27098)/学(18233)/科学(12076)/学習(8976)/学生(8819)/中学(6187)/文学(5522)/化学(5416)/小学(5161)/医学(4346)/哲学(3888)/入学(2855)/学ぶ(2622)/留学(2595)/数学(2579)/学ん(2395)/学問(2290)/見学(2105)/学年(2041)
39	後	199647	1022.1387	20.327	後(77264)/最後(19097)/午後(17868)/今後(14583)/前後(5896)/戦後(5390)/後ろ(5256)/後半(4945)/以後(4031)/直後(3560)/背後(2908)/後期(2790)/後者(2199)/後悔(1811)/後方(1474)/死後(1310)/後退(1260)/後継(1228)/後日(1083)/後輩(949)
40	私	194807	997.3592	20.656	私(187170)/私立(1567)/私的(1310)/私学(494)/私有(318)/私鉄(300)/私物(272)/私服(266)/私法(231)/公私(226)/私見(182)/私人(155)/私大(142)/私事(114)/私道(109)/私欲(103)/私設(99)/私用(96)/私利(88)/私語(78)
41	体	193160	988.9270	20.982	体(31942)/全体(19459)/団体(14324)/具体(11902)/身体(11638)/体験(9607)/体制(9396)/自体(7671)/一体(6469)/主体(4480)/体育(3442)/体重(3419)/大体(3129)/体系(3112)/肉体(3032)/死体(2586)/体力(2585)/体調(1940)/体質(1783)/本体(1753)
42	対	189262	968.9703	21.301	対し(40263)/対する(27677)/対象(24239)/対策(18757)/対応(18223)/絶対(11600)/反対(9908)/対(6741)/対処(3914)/対立(3311)/相対(2439)/対抗(2370)/対照(2191)/対話(1568)/対決(1193)/対面(1162)/対外(1091)/対戦(980)/対比(935)/対等(738)
43	度	188355	964.3267	21.619	度(51807)/年度(31883)/制度(24274)/程度(20795)/今度(10847)/態度(6556)/高度(5423)/速度(4246)/温度(3809)/限度(2686)/濃度(2332)/角度(1958)/再度(1914)/密度(1381)/頻度(1264)/強度(1232)/精度(1020)/支度(896)/適度(766)/尺度(756)
44	動	184597	945.0867	21.931	活動(31444)/運動(18096)/行動(15924)/自動(15759)/動き(12655)/動物(9352)/移動(8733)/動産(4242)/動向(4087)/感動(3662)/変動(3630)/動い(3341)/動作(3088)/動く(2950)/動かし(2598)/動か(2496)/起動(2314)/動機(2211)/動脈(1931)/動かす(1726)
45	理	181886	931.2071	22.237	管理(22142)/理由(19609)/理解(18758)/処理(15213)/料理(12796)/無理(9512)/整理(6228)/理論(5919)/心理(5189)/総理(5104)/合理(4343)/理事(4170)/理想(4089)/代理(3819)/生理(3316)/原理(3235)/論理(3105)/調理(2682)/物理(2614)/修理(2555)
