ранг	кандзи	freq	pmw	кум%	написания
440	局	36489	186.8138	72.200	局(16800)/結局(9597)/当局(2498)/局面(1092)/局長(931)/薬局(759)/局所(498)/支局(483)/部局(424)/局員(273)/政局(250)/終局(231)/局地(199)/破局(190)/医局(185)/対局(185)/大局(144)/局部(130)/戦局(121)/総局(117)
441	除	36471	186.7217	72.262	除く(5392)/削除(5243)/控除(3847)/掃除(3530)/排除(2369)/解除(2005)/除い(1842)/除去(1647)/免除(1587)/除き(1413)/除外(1037)/切除(587)/駆除(578)/除け(576)/取り除く(559)/防除(484)/除(361)/除雪(333)/取り除い(323)/取り除き(259)
442	投	36419	186.4554	72.323	投資(12819)/投票(3263)/投げ(2197)/投手(2024)/投入(1934)/投与(1911)/投稿(1344)/投下(667)/投げる(611)/投じ(480)/投機(462)/投げかけ(443)/投棄(418)/投球(408)/投影(402)/投げつけ(360)/投げ出し(313)/投融資(274)/財投(271)/投薬(244)
443	視	36360	186.1534	72.385	視線(4541)/無視(4340)/重視(3894)/視点(3686)/監視(3528)/視(2016)/視聴(1880)/視野(1577)/警視(1356)/視覚(1353)/視界(1100)/視察(867)/視力(698)/凝視(457)/軽視(438)/可視(368)/注視(342)/内視(309)/視聴覚(271)/巡視(261)
444	非	36348	186.0919	72.446	非常(17193)/非(11684)/是非(2472)/非難(1982)/非行(1201)/非情(216)/非人(206)/非核(159)/非鉄(158)/非道(151)/非力(121)/非凡(101)/非番(82)/検非違使(81)/非礼(67)/非業(55)/非訟(39)/似非(29)/非戦(28)/非法(19)
445	介	36284	185.7643	72.507	紹介(14620)/介護(9666)/介入(1402)/厄介(861)/介し(843)/仲介(835)/魚介(642)/媒介(609)/介助(476)/信介(332)/介在(298)/介(296)/介石(289)/圭介(269)/上野介(200)/俊介(189)/一介(177)/大介(171)/龍之介(171)/洋介(129)
446	細	36284	185.7643	72.569	細胞(8701)/詳細(4927)/細い(2147)/細かい(2082)/細菌(1678)/細かく(1577)/細く(1106)/細工(1006)/細川(960)/繊細(909)/明細(670)/細部(633)/細め(605)/細か(593)/細長い(582)/細(523)/些細(448)/零細(419)/細分(354)/細心(306)
447	君	36003	184.3256	72.629	君(31078)/諸君(897)/君主(882)/主君(344)/君が代(343)/君臨(340)/君子(272)/細君(196)/大君(162)/暴君(152)/君津(101)/君臣(78)/若君(75)/君江(61)/名君(59)/昭君(57)/貴君(53)/父君(48)/明君(45)/君代(44)
448	覚	36000	184.3103	72.690	覚え(8826)/感覚(6906)/覚悟(2657)/自覚(2509)/視覚(1353)/覚える(1158)/目覚め(1109)/知覚(992)/覚め(921)/錯覚(856)/発覚(695)/聴覚(656)/覚せい(619)/覚醒(542)/覚まし(487)/味覚(468)/覚書(340)/見覚え(306)/幻覚(290)/覚める(290)
449	農	35911	183.8546	72.751	農業(9685)/農家(3356)/農林(2748)/農村(2714)/農民(2320)/農地(2127)/農(1185)/農産(1161)/農協(1154)/農薬(1154)/農場(685)/農耕(649)/農政(525)/農園(511)/農水(507)/農作(426)/農用(386)/酪農(347)/農林漁業(314)/営農(300)
450	離	35897	183.7829	72.811	離れ(8626)/距離(8425)/離婚(3931)/分離(2695)/離れる(1039)/離し(906)/離脱(693)/隔離(628)/離職(505)/離乳(478)/離さ(464)/乖離(392)/切り離し(388)/離島(384)/離陸(352)/かけ離れ(334)/剥離(301)/離す(301)/離せ(288)/電離(276)
451	適	35729	182.9228	72.872	適用(8078)/適切(5900)/適当(3696)/適正(3570)/快適(2035)/最適(1786)/適応(1772)/適合(1738)/適し(1536)/適度(766)/適宜(613)/適量(550)/適格(532)/適性(461)/適法(300)/適時(242)/適齢(204)/適する(164)/適任(160)/適地(155)
452	器	35682	182.6822	72.932	器(10173)/機器(4234)/武器(2764)/兵器(2638)/容器(2093)/楽器(1684)/器具(1541)/食器(1161)/臓器(1000)/器用(789)/土器(743)/器官(704)/石器(498)/陶器(492)/性器(432)/電器(366)/便器(361)/凶器(357)/陶磁器(257)/器量(241)
453	火	35672	182.6310	72.992	火(11875)/火災(3106)/火山(1682)/花火(1501)/火曜(1447)/防火(1006)/火事(973)/消火(890)/噴火(855)/放火(610)/中火(465)/弱火(461)/出火(397)/火星(387)/火薬(365)/火花(336)/火傷(332)/火力(325)/火葬(317)/強火(310)
454	若	35653	182.5337	73.052	若い(11790)/若者(4997)/若しくは(3590)/若干(2913)/若(2037)/若く(1250)/若手(1225)/若年(1027)/若き(661)/般若(339)/若葉(332)/若狭(303)/若林(262)/若松(257)/若かっ(240)/老若(217)/若い衆(211)/若衆(202)/若し(192)/若々しい(186)
455	療	35573	182.1241	73.112	医療(14882)/治療(11233)/療法(3851)/診療(2798)/療養(1906)/療育(325)/心療(210)/受療(80)/療護(49)/食療(36)/加療(35)/施療(34)/療治(31)/鍼療(15)/理療(12)/全療協(10)/療院(9)/初療(7)/救療(7)/乱療(6)
456	健	35546	181.9859	73.172	健康(18221)/保健(8060)/健全(2516)/健診(1449)/健(654)/健在(463)/健一(375)/健常(343)/健やか(309)/健太(276)/健闘(235)/健太郎(196)/穏健(179)/健二(166)/健気(128)/健保(123)/健介(105)/健治(87)/健三郎(86)/健吾(82)
457	値	35510	181.8016	73.232	価値(10879)/値(10792)/値段(4113)/数値(3217)/高値(1051)/値上げ(659)/安値(528)/値上がり(490)/値下げ(400)/値引き(356)/終値(320)/値打ち(287)/値下がり(236)/値動き(143)/指値(110)/上値(102)/小値賀(100)/半値(91)/下値(90)/値幅(90)
458	課	35326	180.8596	73.292	課(15558)/課題(8555)/課税(4438)/課長(1612)/課程(1312)/課せ(483)/放課(475)/課さ(395)/課し(320)/賦課(316)/日課(311)/課す(235)/同課(200)/課する(161)/考課(147)/課徴(147)/課金(107)/課外(94)/各課(80)/公課(62)
459	省	35258	180.5114	73.351	省(25479)/反省(2578)/省庁(1680)/省略(1219)/省令(469)/帰省(444)/省エネ(406)/各省(375)/省力(244)/総省(170)/本省(164)/省い(149)/省く(139)/三省(132)/府省(121)/同省(111)/内省(108)/省吾(105)/省き(99)/省け(88)
460	導	35247	180.4551	73.411	指導(17116)/導入(8159)/誘導(2039)/主導(1472)/導体(980)/導く(708)/導い(639)/導か(582)/補導(471)/伝導(395)/先導(391)/導き(320)/盲導(158)/導線(134)/導師(123)/導電(117)/導き出さ(112)/導き出す(106)/導(103)/導き出し(92)
461	算	35212	180.2759	73.470	計算(10441)/予算(8326)/決算(2741)/算定(1536)/算出(1194)/加算(1125)/換算(1041)/清算(1022)/試算(858)/通算(669)/採算(604)/算入(585)/算数(492)/概算(398)/演算(381)/起算(378)/合算(325)/精算(272)/積算(201)/算(166)
462	千	35106	179.7332	73.529	千(6349)/千葉(3347)/二千(2327)/三千(1972)/五千(1843)/一千(1263)/四千(996)/六千(865)/七千(854)/数千(823)/八千(799)/何千(628)/５千(628)/千代(621)/千代田(615)/２千(493)/九千(487)/３千(404)/千秋(364)/１千(361)
463	念	35066	179.5284	73.589	記念(6567)/残念(5602)/概念(4634)/念(2481)/理念(2316)/観念(2144)/懸念(1813)/信念(1147)/念仏(905)/念頭(901)/専念(777)/断念(673)/無念(470)/念願(447)/疑念(348)/執念(339)/丹念(319)/念入り(272)/祈念(245)/通念(245)
464	製	34937	178.8680	73.648	製品(8748)/製造(8395)/製(5523)/製作(3242)/木製(710)/複製(679)/製剤(629)/製薬(581)/製鉄(480)/精製(350)/特製(346)/製法(320)/作製(314)/製紙(266)/乳製(264)/鉄製(264)/製材(261)/調製(216)/縫製(184)/既製(166)
465	官	34902	178.6888	73.706	官(12646)/長官(4237)/官僚(2367)/警官(1609)/官庁(1214)/次官(1023)/士官(942)/官房(888)/器官(704)/官邸(601)/教官(518)/代官(453)/官吏(444)/官能(418)/高官(393)/官民(302)/神官(292)/武官(260)/官軍(241)/代官山(217)
466	写	34718	177.7468	73.765	写真(26548)/写し(1233)/描写(1124)/写っ(797)/被写(327)/写本(326)/転写(288)/複写(281)/写す(275)/写(244)/写り(199)/模写(194)/写実(191)/実写(177)/試写(174)/書写(173)/謄写(168)/写生(157)/写る(149)/映写(149)
467	難	34528	176.7740	73.823	難しい(7540)/困難(6795)/避難(2451)/非難(1982)/難しく(1321)/難い(1300)/難(1223)/難民(1024)/無難(810)/難し(610)/遭難(589)/盗難(465)/有難う(420)/苦難(376)/難易(371)/難波(354)/難く(325)/難解(321)/災難(295)/難点(295)
468	郎	34356	175.8934	73.881	太郎(1657)/野郎(1184)/次郎(1096)/三郎(973)/一郎(830)/四郎(677)/五郎(532)/郎(410)/八郎(403)/新郎(390)/二郎(374)/達郎(315)/純一郎(307)/十郎(300)/志郎(244)/藤吉郎(238)/慎太郎(231)/小太郎(226)/金次郎(225)/小次郎(223)
469	師	34286	175.5351	73.939	師(7663)/医師(7608)/教師(5432)/講師(2991)/師匠(1111)/師団(839)/漁師(723)/牧師(717)/師範(632)/法師(631)/大師(585)/技師(524)/薬師(356)/禅師(344)/恩師(307)/術師(242)/猟師(220)/占い師(217)/絵師(197)/師走(189)
470	失	34152	174.8490	73.997	失敗(6096)/失っ(3758)/失業(2780)/失礼(2656)/失わ(2244)/損失(2087)/失う(1429)/喪失(1426)/過失(1291)/失い(1182)/失点(568)/消失(552)/失望(544)/失踪(450)/失調(433)/紛失(416)/焼失(318)/失格(316)/失恋(298)/見失っ(275)
471	午	34112	174.6442	74.054	午後(17868)/午前(13645)/正午(2058)/午(144)/端午(72)/午睡(44)/子午(40)/午之助(31)/午年(29)/午后(27)/初午(26)/午餐(21)/丙午(20)/戊午(14)/甲午(9)/午すぎ(8)/午王(7)/壬午(6)/庚午(6)/午過ぎ(5)
472	負	34108	174.6237	74.112	負担(11791)/負け(4789)/勝負(2900)/負債(1583)/負荷(1472)/負傷(1307)/負う(1197)/負っ(1082)/背負っ(996)/負(869)/負ける(751)/請負(657)/負わ(507)/自負(426)/負い(331)/背負い(290)/負え(249)/背負う(235)/抱負(188)/負わさ(129)
473	登	34053	174.3422	74.169	登録(10608)/登場(8490)/登記(3864)/登山(1789)/登校(1508)/登っ(1444)/登り(831)/登る(817)/能登(465)/登別(400)/登用(369)/登板(296)/登(218)/登れ(158)/登頂(157)/山登り(138)/登ら(115)/登城(110)/登輝(108)/正登(107)
474	氏	33965	173.8916	74.227	氏(24212)/氏名(2914)/彼氏(2679)/源氏(1308)/氏族(236)/平氏(233)/両氏(224)/尊氏(217)/同氏(177)/諸氏(153)/光源氏(133)/氏神(114)/杜氏(106)/氏康(105)/摂氏(99)/氏子(99)/氏真(84)/持氏(59)/氏政(48)/氏直(47)
475	低	33864	173.3745	74.284	低い(7069)/低下(7026)/低(5565)/最低(4165)/低く(3386)/低迷(1069)/低減(756)/低温(692)/低め(342)/低かっ(327)/高低(283)/低地(245)/低音(243)/低利(236)/低速(211)/低廉(199)/低調(179)/低木(165)/低位(148)/低空(123)
476	階	33731	172.6936	74.341	階(12398)/段階(10806)/階段(4156)/階級(3033)/階層(1704)/階下(382)/二階堂(234)/音階(142)/階調(125)/位階(112)/各階(96)/階上(87)/上階(65)/地階(56)/高階(45)/階数(43)/階梯(39)/職階(30)/上下階(16)/下階(14)
477	材	33704	172.5554	74.398	材料(8872)/素材(4605)/取材(3925)/人材(3312)/材(2569)/木材(1661)/食材(1477)/教材(1120)/資材(892)/題材(649)/機材(549)/材質(443)/材木(390)/部材(266)/製材(261)/資機材(256)/建材(197)/花材(192)/具材(167)/石材(158)
478	展	33545	171.7413	74.454	発展(10124)/展開(9313)/展示(4432)/進展(3133)/展(3132)/展望(1784)/展覧(622)/出展(256)/個展(229)/伸展(136)/日展(51)/同展(31)/展観(27)/文展(25)/展子(24)/本展(23)/院展(21)/親展(17)/大展(13)/官展(13)
479	況	33538	171.7055	74.511	状況(28155)/不況(2130)/現況(637)/概況(380)/情況(332)/実況(312)/市況(307)/盛況(240)/近況(218)/戦況(202)/好況(136)/活況(110)/景況(108)/業況(78)/海況(38)/作況(32)/漁況(25)/況(20)/流況(20)/況や(17)
480	差	33358	170.7839	74.567	差(8586)/差別(3816)/交差(1692)/格差(1679)/差異(1141)/差し出し(930)/差し(808)/差額(742)/偏差(695)/眼差し(493)/日差し(491)/誤差(485)/人差し(462)/差し上げ(433)/差押(408)/差し支え(388)/大差(381)/差し引い(376)/段差(365)/指差し(357)
481	異	33312	170.5484	74.623	異なる(6168)/異常(5369)/異なっ(2497)/異なり(2388)/異(1714)/異議(1582)/差異(1141)/特異(1121)/異様(943)/異性(924)/異動(819)/変異(671)/異質(605)/異国(560)/異例(502)/驚異(483)/異論(424)/異変(416)/異端(406)/異物(397)
482	満	33261	170.2873	74.680	満足(6266)/未満(3597)/不満(3456)/満ち(2052)/満たす(1223)/満州(1195)/満たし(1095)/満たさ(1008)/肥満(955)/満(896)/満た(661)/満点(608)/満喫(590)/満載(568)/満開(544)/満員(517)/満了(506)/満期(432)/満月(380)/満洲(347)
483	振	33184	169.8931	74.736	振興(5044)/振っ(3168)/振り(2335)/振動(1703)/振り返っ(1658)/振替(1283)/振り返る(986)/振る(924)/不振(757)/振込(707)/振り向い(620)/振込み(619)/振り返り(520)/振り込み(458)/振ら(443)/振る舞い(421)/三振(394)/身振り(361)/振り回さ(306)/振り向く(303)
484	習	32835	168.1063	74.791	学習(8976)/練習(6776)/習慣(4024)/講習(2625)/実習(1255)/習得(1092)/演習(848)/習っ(761)/慣習(753)/風習(545)/教習(496)/習い(408)/習性(308)/見習い(299)/復習(296)/習う(259)/習熟(236)/常習(228)/習俗(203)/習い事(179)
485	友	32548	166.6370	74.846	友達(10107)/友人(9142)/友だち(2481)/友(2092)/親友(1198)/友好(996)/友情(957)/住友(629)/大友(364)/交友(241)/メル友(176)/政友(173)/血友(153)/旧友(149)/戦友(143)/友愛(132)/盟友(120)/学友(116)/友子(113)/級友(110)
486	推	32468	166.2274	74.901	推進(15990)/推移(5575)/推定(2322)/推測(1783)/推計(1286)/推薦(1162)/推理(917)/推奨(537)/推論(510)/推察(442)/推し(221)/類推(218)/推し進め(190)/推古(146)/推量(134)/推挙(131)/推敲(105)/推す(91)/推し進める(71)/推(60)
487	統	32335	165.5465	74.955	伝統(5873)/大統領(5442)/統計(5405)/統一(4047)/統合(3353)/系統(1544)/統治(1518)/統制(1373)/血統(621)/正統(614)/統括(580)/総統(370)/統率(185)/統(184)/持統(171)/統帥(137)/統廃合(127)/統御(115)/皇統(104)/統轄(76)
488	深	32260	165.1625	75.010	深い(7689)/深く(6163)/深刻(2765)/深(2438)/深夜(2075)/深め(1289)/深める(739)/深川(487)/深み(476)/深々(448)/深層(364)/深海(355)/水深(333)/深かっ(289)/奥深く(287)/深まっ(286)/深まる(255)/深度(251)/深まり(248)/深谷(218)
489	馬	32214	164.9270	75.064	馬(8104)/馬鹿(3049)/競馬(1497)/群馬(1054)/馬車(927)/馬場(805)/馬券(662)/龍馬(637)/騎馬(584)/対馬(483)/司馬(449)/牡馬(437)/馬力(436)/有馬(411)/出馬(396)/練馬(386)/牝馬(374)/白馬(352)/乗馬(316)/邪馬台(295)
490	給	32144	164.5686	75.118	供給(5606)/給付(4365)/支給(4026)/給与(2750)/給料(2441)/受給(1820)/補給(1446)/給食(1375)/需給(1256)/自給(775)/給(748)/配給(571)/有給(501)/給水(416)/月給(412)/給油(378)/時給(363)/恩給(343)/給仕(210)/昇給(196)
491	望	32057	164.1232	75.172	希望(9055)/要望(2520)/望ましい(1975)/展望(1784)/欲望(1744)/望む(1732)/望ん(1601)/望み(1458)/絶望(1282)/望ま(1040)/願望(997)/望遠(788)/失望(544)/志望(541)/望め(386)/望月(326)/有望(322)/野望(316)/待望(315)/眺望(298)
492	打	31970	163.6778	75.226	打っ(3081)/打つ(2193)/打ち(2147)/打(1600)/打た(1403)/打撃(1110)/打ち合わせ(883)/安打(840)/打ち上げ(697)/打ち出し(675)/打者(612)/打ち明け(559)/打て(512)/打線(486)/打開(393)/打席(365)/打破(323)/打球(321)/舌打ち(311)/打ち込ん(307)
493	具	31943	163.5395	75.280	具体(11902)/道具(4042)/具合(3399)/具(3067)/家具(1697)/器具(1541)/玩具(536)/工具(440)/用具(335)/絵の具(326)/金具(317)/寝具(272)/具現(246)/遊具(208)/絵具(207)/具材(167)/建具(163)/装具(161)/具足(144)/文具(137)
494	右	31840	163.0122	75.334	右(10762)/左右(5016)/右手(3222)/右側(1551)/右翼(730)/右足(711)/右上(615)/右京(570)/右腕(545)/右下(510)/右肩(365)/右近(337)/右端(309)/右折(302)/右衛門(250)/右辺(233)/右岸(199)/同右(193)/右派(187)/右脳(175)
495	優	31567	161.6145	75.387	優先(4159)/優勝(3831)/優れ(3262)/優秀(2500)/優しい(2418)/女優(1777)/俳優(1775)/優しく(1570)/優位(1290)/優良(871)/優し(856)/優遇(821)/優雅(809)/優(765)/優勢(461)/優越(453)/声優(420)/優待(419)/優美(303)/優等(263)
496	願	31555	161.5531	75.440	願い(20942)/願っ(1682)/出願(1291)/願望(997)/願う(956)/本願(819)/祈願(485)/願(468)/志願(455)/念願(447)/請願(328)/懇願(299)/願書(287)/嘆願(219)/悲願(158)/願い出(151)/哀願(149)/願え(128)/願い事(110)/願わく(93)
497	座	31542	161.4865	75.494	講座(4414)/座っ(4025)/座(3666)/口座(3098)/銀座(1989)/座席(1494)/座敷(1172)/座り(1069)/座る(944)/即座(912)/座標(604)/星座(433)/座談(400)/座ら(331)/正座(326)/御座い(310)/当座(270)/台座(238)/一座(228)/座り込ん(219)
498	案	31533	161.4404	75.547	案(7365)/案内(5736)/提案(5367)/法案(2587)/案外(957)/事案(863)/案件(830)/勘案(812)/考案(721)/立案(704)/思案(577)/草案(507)/案の定(458)/原案(436)/案じ(343)/議案(329)/本案(320)/懸案(215)/発案(205)/新案(197)
499	福	31462	161.0769	75.600	福祉(13881)/福岡(3353)/幸福(2325)/福島(1882)/福井(1262)/福田(1091)/祝福(712)/福音(585)/福(583)/裕福(462)/福沢(391)/福山(364)/福原(276)/至福(266)/福利(256)/冥福(196)/福建(194)/興福(190)/大福(167)/福神(160)
500	争	31381	160.6622	75.653	戦争(14107)/競争(6438)/紛争(2677)/争い(1827)/闘争(1673)/論争(1150)/争う(530)/抗争(520)/争っ(453)/争議(383)/争点(338)/争わ(241)/争奪(213)/係争(166)/政争(89)/言い争い(89)/言い争っ(46)/争乱(45)/争いごと(39)/争(38)
501	担	31200	159.7356	75.706	負担(11791)/担当(9867)/担保(2308)/分担(1541)/担う(1237)/担任(1078)/担っ(981)/担い手(749)/担い(460)/加担(215)/担わ(132)/担架(126)/担(100)/担ぎ(81)/担ぐ(74)/担が(65)/荷担(46)/担ぎ手(28)/担ぎ込ま(23)/専担(22)
502	園	31143	159.4437	75.758	公園(9762)/園(9410)/学園(1485)/庭園(1186)/園芸(793)/入園(685)/遊園(561)/農園(511)/田園(505)/祇園(408)/荘園(394)/楽園(355)/花園(343)/園児(336)/菜園(327)/園長(293)/園内(262)/開園(258)/園田(244)/園子(185)
503	根	31046	158.9471	75.811	根拠(3317)/根(3121)/屋根(2763)/根本(2736)/大根(1777)/根元(803)/根底(785)/根源(743)/箱根(736)/根性(593)/島根(562)/尾根(524)/羽根(513)/中曽根(469)/根気(462)/利根(399)/根幹(398)/白根(381)/付け根(379)/球根(372)
504	赤	30905	158.2252	75.863	赤(5655)/赤い(3993)/赤ちゃん(3877)/赤字(2761)/赤く(1540)/赤ん坊(1252)/真っ赤(1176)/赤坂(747)/赤色(543)/赤外(398)/赤松(322)/赤城(321)/赤穂(271)/赤み(268)/赤道(255)/赤毛(227)/赤羽(224)/赤子(204)/赤瀬川(202)/赤軍(198)
505	財	30640	156.8685	75.914	財政(8126)/財産(6599)/財(3595)/財務(2788)/財源(2129)/財団(1396)/財布(1255)/（財）(856)/財閥(505)/管財(450)/財界(379)/行財政(315)/財投(271)/家財(199)/財宝(162)/財貨(140)/財形(138)/財力(134)/財津(109)/財物(82)
506	飛	30386	155.5681	75.966	飛行(6091)/飛ん(3236)/飛び出し(1543)/飛ぶ(1337)/飛躍(1063)/飛び込ん(962)/飛ばし(880)/飛び(781)/飛鳥(565)/飛(511)/飛騨(448)/飛ばす(346)/飛び出す(323)/飛び降り(306)/飛びこん(291)/飛び込み(281)/飛来(273)/飛ばさ(238)/飛びだし(235)/飛車(229)
507	戸	30336	155.3121	76.017	江戸(8094)/戸(3526)/神戸(3054)/戸籍(1335)/井戸(1305)/瀬戸(1198)/水戸(1136)/戸田(689)/戸口(633)/戸数(578)/木戸(536)/戸惑い(444)/戸惑っ(397)/戸棚(308)/戸外(278)/戸塚(264)/江戸川(255)/八戸(250)/雨戸(236)/平戸(210)
508	王	30085	154.0271	76.068	王(8576)/王子(2024)/女王(1701)/国王(1492)/王国(1323)/王朝(990)/親王(799)/大王(766)/天王寺(539)/帝王(507)/王女(468)/王者(443)/八王子(413)/天王(389)/王妃(389)/王位(344)/王宮(327)/王権(319)/王室(309)/王家(264)
509	積	30080	154.0015	76.118	積極(8011)/面積(4390)/蓄積(1841)/集積(1347)/積ん(1257)/積み重ね(881)/堆積(701)/累積(694)/積み上げ(626)/積(614)/積立(580)/体積(476)/積雪(436)/積み(403)/容積(373)/見積もり(370)/積ま(368)/積み立て(341)/積む(341)/積もっ(320)
510	試	30010	153.6431	76.169	試験(9409)/試合(7301)/試み(2857)/試し(2835)/試算(858)/入試(662)/試行(609)/試料(520)/試練(488)/試作(470)/試食(420)/試みる(416)/試す(272)/試(267)/試さ(235)/試着(228)/試乗(208)/試聴(187)/試写(174)/試案(162)
511	黒	29976	153.4690	76.220	黒(8834)/黒い(4120)/黒人(1736)/黒字(1146)/黒く(831)/黒田(684)/黒木(544)/真っ黒(497)/目黒(474)/暗黒(471)/大黒(456)/黒髪(419)/白黒(377)/黒板(346)/黒澤(278)/黒川(251)/黒色(227)/黒崎(204)/漆黒(203)/黒々(192)
512	我	29972	153.4485	76.270	我が(10831)/我々(5659)/我慢(3345)/我(2851)/我が家(2231)/怪我(1401)/自我(1105)/蘇我(317)/無我(192)/曽我(166)/我輩(146)/我家(139)/久我(134)/長宗我部(116)/彼我(106)/我妻(95)/我儘(82)/我れ(68)/我孫子(65)/唯我(56)
513	周	29878	152.9673	76.321	周辺(6949)/周囲(5816)/周り(5071)/周年(1887)/周波(1887)/周(1810)/周期(1172)/周知(1155)/周防(338)/周到(266)/周遊(262)/歯周(251)/周回(178)/周作(169)/円周(155)/外周(142)/周瑜(136)/周忌(121)/周縁(116)/周五郎(92)
514	察	29801	152.5731	76.371	警察(13051)/観察(6402)/検察(2025)/考察(1730)/診察(1562)/察し(943)/視察(867)/偵察(478)/察知(473)/洞察(454)/推察(442)/監察(353)/査察(318)/察する(256)/察せ(120)/巡察(56)/省察(50)/察(36)/按察使(24)/明察(23)
515	客	29799	152.5628	76.421	客(15005)/顧客(3189)/客観(2240)/観客(1732)/旅客(1146)/乗客(1079)/客室(548)/客席(512)/接客(490)/来客(425)/刺客(310)/集客(223)/客船(206)/客体(186)/客間(178)/客人(157)/客車(154)/先客(102)/客層(102)/客員(96)
516	南	29791	152.5219	76.472	南(7809)/南部(2203)/東南(1674)/南北(1454)/南方(724)/南西(677)/南京(668)/南側(663)/南極(587)/中南米(532)/南米(496)/南下(495)/南海(474)/湘南(421)/西南(399)/南東(374)/南アフリカ(343)/南蛮(335)/南端(309)/南国(253)
517	昭	29790	152.5168	76.522	昭和(25921)/昭(1389)/博昭(366)/義昭(261)/昭次(202)/昭子(170)/斉昭(96)/昭二(86)/昭夫(83)/昭吾(76)/昭君(57)/昭一(56)/昭彦(41)/昭雄(40)/正昭(35)/昭三(33)/昭如(27)/道昭(27)/昭直(25)/昭島(24)
518	血	29714	152.1276	76.572	血(6924)/血液(3891)/血圧(2362)/血管(2356)/出血(1905)/血糖(760)/血球(665)/血統(621)/貧血(509)/血流(455)/血行(445)/血清(435)/血中(405)/献血(369)/血栓(360)/血縁(352)/輸血(337)/採血(286)/虚血(266)/血の気(263)
519	談	29682	151.9638	76.622	相談(18370)/冗談(2152)/会談(1594)/談(954)/懇談(844)/講談(695)/対談(558)/談話(557)/余談(426)/座談(400)/雑談(372)/面談(348)/談合(296)/商談(241)/示談(222)/談笑(211)/怪談(182)/縁談(165)/談判(155)/談義(105)
520	演	29521	151.1395	76.672	出演(4345)/演奏(4087)/講演(2903)/演出(2498)/公演(2000)/演技(1587)/演じ(1569)/演説(1298)/演劇(1121)/主演(1106)/演習(848)/上演(776)/演じる(754)/共演(570)/開演(510)/実演(480)/演算(381)/初演(287)/演歌(236)/演目(200)
521	休	29505	151.0576	76.722	休み(4471)/休日(2445)/休暇(1959)/夏休み(1869)/休憩(1774)/休業(1667)/休(1446)/休ん(1227)/休館(1126)/連休(1012)/無休(767)/休む(678)/休養(672)/休ま(611)/休止(565)/定休(545)/利休(544)/休息(505)/休め(480)/昼休み(456)
522	歌	29460	150.8272	76.771	歌(9376)/歌っ(2591)/歌詞(1551)/歌手(1533)/歌う(1486)/和歌山(1225)/歌い(1149)/歌舞伎(926)/和歌(725)/短歌(610)/歌声(493)/歌わ(486)/歌謡(464)/国歌(417)/歌劇(382)/歌人(375)/唱歌(260)/歌集(252)/演歌(236)/歌え(209)
523	井	29439	150.7197	76.821	天井(2754)/井上(1805)/井戸(1305)/福井(1262)/石井(1114)/松井(1057)/三井(1000)/亀井(851)/藤井(678)/桜井(631)/酒井(592)/井(540)/永井(516)/今井(494)/白井(466)/中井(442)/大井(428)/新井(423)/軽井沢(400)/浅井(384)
524	宅	29335	150.1873	76.871	住宅(13804)/自宅(4585)/帰宅(2474)/宅(2187)/在宅(1749)/宅地(1215)/宅配(617)/居宅(526)/三宅(405)/邸宅(391)/社宅(256)/安宅(151)/家宅(147)/大宅(110)/宅建(91)/宅老(85)/お宅(54)/宅間(51)/新宅(51)/別宅(40)
525	録	29270	149.8545	76.920	登録(10608)/記録(10291)/録音(1754)/録(1680)/収録(1567)/録画(1302)/目録(609)/付録(377)/要録(115)/語録(105)/再録(94)/実録(83)/民録(80)/図録(68)/採録(62)/刑録(42)/附録(37)/秘録(36)/録っ(36)/録り(33)
526	苦	29218	149.5883	76.969	苦労(4356)/苦情(2491)/苦手(2303)/苦笑(1957)/苦しみ(1841)/苦痛(1770)/苦しい(1666)/苦しん(1049)/苦(876)/苦悩(755)/苦しむ(701)/苦しく(664)/苦し(633)/苦い(518)/苦しめ(454)/苦難(376)/苦戦(351)/苦心(315)/苦笑い(310)/苦闘(281)
527	帯	29201	149.5012	77.019	携帯(7557)/世帯(5610)/帯(4808)/地帯(2242)/熱帯(1215)/帯び(1177)/連帯(1171)/一帯(1042)/附帯(420)/帯域(408)/包帯(346)/所帯(215)/帯広(179)/声帯(166)/温帯(161)/帯びる(150)/付帯(147)/帯締め(147)/靱帯(132)/帯揚げ(117)
528	映	29140	149.1889	77.068	映画(14317)/映像(3971)/反映(3959)/映っ(1180)/上映(1032)/放映(786)/映る(689)/映し(302)/映り(301)/映し出さ(274)/映える(195)/映子(187)/映え(184)/映す(179)/映ら(173)/東映(153)/映写(149)/映し出し(134)/映し出す(132)/大映(65)
529	像	29125	149.1121	77.117	画像(7343)/想像(6974)/像(5483)/映像(3971)/肖像(730)/仏像(510)/解像(405)/現像(380)/彫像(234)/銅像(210)/撮像(209)/立像(195)/偶像(175)/石像(175)/図像(164)/宗像(158)/坐像(152)/実像(143)/群像(130)/神像(104)
530	勢	29120	149.0865	77.166	姿勢(6027)/勢力(3310)/勢い(3274)/情勢(2673)/大勢(2282)/伊勢(1775)/勢(1465)/態勢(1022)/軍勢(483)/優勢(461)/攻勢(416)/体勢(361)/実勢(358)/国勢(344)/去勢(284)/威勢(284)/趨勢(231)/形勢(228)/総勢(220)/伊勢丹(209)
